City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1201,victoria,HK,22.2855,114.1577,69.19,89,100,11.01,overcast clouds
1202,mitsamiouli,KM,-11.3847,43.2844,79.59,77,39,3.38,scattered clouds
1203,jamestown,US,42.097,-79.2353,26.19,63,100,7,overcast clouds
1204,torbay,CA,47.6666,-52.7314,15.49,87,40,5.75,scattered clouds
1205,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1206,camana,PE,-16.6228,-72.7111,71.28,75,81,6.58,broken clouds
1207,kathu,TH,7.9178,98.3332,87.62,69,95,10.33,overcast clouds
1208,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1209,kruisfontein,ZA,-34.0033,24.7314,64.89,90,1,8.34,clear sky
1210,voyvozh,RU,62.892,54.9635,1.33,97,100,6.24,overcast clouds
1211,upernavik,GL,72.7868,-56.1549,2.8,90,100,16.6,overcast clouds
1212,ponta do sol,PT,32.6667,-17.1,58.01,78,79,3.98,broken clouds
1213,kribi,CM,2.95,9.9167,77.59,84,98,2.06,overcast clouds
1214,east london,ZA,-33.0153,27.9116,71.91,89,77,14.05,light rain
1215,bayamo,CU,20.3792,-76.6433,70.25,79,0,1.77,clear sky
1216,agadir,MA,30.4202,-9.5982,63.05,42,91,25.12,overcast clouds
1217,janakpur,NP,26.7183,85.9065,56.59,69,0,6.82,clear sky
1218,ilulissat,GL,69.2167,-51.1,-3.1,83,100,8.25,overcast clouds
1219,mar del plata,AR,-38.0023,-57.5575,61.88,75,0,1.01,clear sky
1220,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1221,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1222,puerto leguizamo,CO,-0.1934,-74.7819,73.81,82,62,0.92,broken clouds
1223,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1224,dawlatabad,AF,36.4141,64.9053,48.42,79,88,4.14,overcast clouds
1225,maceio,BR,-9.6658,-35.7353,78.24,94,75,2.3,broken clouds
1226,waupun,US,43.6333,-88.7296,20.93,84,64,11.83,broken clouds
1227,bathsheba,BB,13.2167,-59.5167,74.01,83,40,6.91,scattered clouds
1228,hithadhoo,MV,-0.6,73.0833,81.46,67,92,15.77,overcast clouds
1229,bud,US,39.447,-86.1758,30.9,83,100,5.7,overcast clouds
1230,mikumi,TZ,-7.4041,36.9831,68.56,96,100,3.74,overcast clouds
1231,arraial do cabo,BR,-22.9661,-42.0278,75.51,90,41,17.72,scattered clouds
1232,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1233,sao felix do xingu,BR,-6.6447,-51.995,70.21,99,100,0.94,light rain
1234,rayachoti,IN,14.05,78.75,69.26,83,65,3.83,broken clouds
