City ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
143,Mahebourg,MU,74.25,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
146,Mar del plata,AR,61.88,-38.0023,-57.5575,clear sky,Gran Hotel Mar del Plata
153,Trelew,AR,82.69,-43.249,-65.3051,clear sky,Hotel Touring Club
154,Mandera,KE,76.62,3.9366,41.867,broken clouds,Mwalimu Guest mandera
155,Salinopolis,BR,74.34,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
163,Veraval,IN,61.39,20.9,70.3667,clear sky,Lords Inn Somnath
164,El alto,PE,69.62,-4.2714,-81.2147,scattered clouds,Black Marlin Restaurant & Hospedaje
179,Kavaratti,IN,79.14,10.5669,72.642,scattered clouds,Hotels in Lakshadweep Islands
186,Viedma,AR,67.95,-40.8135,-62.9967,clear sky,Hotel Cristal
197,Cacoal,BR,71.89,-11.4386,-61.4472,scattered clouds,Hotel BR 364
201,Acari,PE,73.4,-15.4311,-74.6158,broken clouds,HOSPEDAJE XIMENA
204,Contamana,PE,76.19,-7.3333,-75.0167,overcast clouds,Shiringal Touristic Park
208,Touros,BR,77.9,-5.1989,-35.4608,overcast clouds,INN NEW HORIZON
213,Djibo,BF,66.87,14.1022,-1.6306,clear sky,Centre Des Ressources DPENA
228,Salalah,OM,68.09,17.0151,54.0924,few clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Bathsheba,BB,74.01,13.2167,-59.5167,scattered clouds,Atlantis Hotel
238,Camana,PE,71.22,-16.6228,-72.7111,broken clouds,Hostal Morales
239,Cuamba,MZ,68.59,-14.8031,36.5372,light rain,Hotel Vision
240,Takoradi,GH,78.51,4.8845,-1.7554,few clouds,Raybow International Hotel
244,Busselton,AU,78.04,-33.65,115.3333,clear sky,Observatory Guest House
252,Beoumi,CI,72.81,7.6736,-5.5764,clear sky,Hôtel le Goly
253,Grand gaube,MU,75.38,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
261,Alta floresta,BR,68.25,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
265,The valley,AI,76.86,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
270,Gwadar,PK,67.17,25.1216,62.3254,clear sky,Sadaf Resort
275,Pital,CO,68.16,2.2665,-75.8044,broken clouds,Finca el Rebaño Vida el Uvital
276,Valparaiso,CL,66.47,-33.0393,-71.6273,scattered clouds,Hotel Ultramar
278,Itaituba,BR,75.36,-4.2761,-55.9836,scattered clouds,Hotel Campos
287,Nkan,GA,75.13,0.3833,9.7833,overcast clouds,Hôtel Santa Barbara
289,Kismayo,SO,75.45,-0.3582,42.5454,few clouds,Agan-Hotel
292,Saldanha,ZA,60.85,-33.0117,17.9442,clear sky,Blue Bay Lodge
296,Santa marta,CO,82.89,11.2408,-74.199,few clouds,Casa de Isabella
305,Hithadhoo,MV,81.46,-0.6,73.0833,overcast clouds,Scoop Guest House
313,Marawi,PH,72.64,7.9986,124.2928,broken clouds,Derogongan Residence
316,Arinos,BR,68.97,-15.9169,-46.1056,few clouds,casa do bruno
339,Porto nacional,BR,73.4,-10.7081,-48.4172,overcast clouds,Vila Real Hotel
342,Caravelas,BR,75.29,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
343,Codrington,AU,71.06,-38.2667,141.9667,broken clouds,Codrington Gardens Bed And Breakfast
347,Talcahuano,CL,60.48,-36.7167,-73.1167,light intensity drizzle,departamento comodo
349,Yala,TH,81.61,6.3333,101.25,broken clouds,งานแต่ง Murnee - Wahid
351,Kisangani,CD,69.98,0.5167,25.2,overcast clouds,Grand Ramela Hotel
357,Axim,GH,77.94,4.8699,-2.2405,scattered clouds,Axim Beach Resort And Spa
358,Comodoro rivadavia,AR,71.46,-45.8667,-67.5,clear sky,Austral Hotel
364,Elmina,GH,78.35,5.0898,-1.348,few clouds,Esteem Kofi and Adjoa Guesthouse
365,Ilebo,CD,68.74,-4.3167,20.5833,few clouds,Hôtel BUMAK
368,Atar,MR,63.97,20.5169,-13.0499,overcast clouds,Oumou Elghoura
372,Vila velha,BR,78.94,-20.3297,-40.2925,broken clouds,Quality Suites Vila Velha
373,Epe,NG,71.4,6.5841,3.9834,scattered clouds,MAGVILLE HOTEL
376,Xai-xai,MZ,72.34,-25.0519,33.6442,scattered clouds,Complexo da Familia
377,Jalingo,NG,68.22,8.8833,11.3667,few clouds,Debright Motel
378,Bom jesus,BR,71.11,-9.0744,-44.3586,overcast clouds,Hotel Brasão & Floricultura Bella Flor
392,Bodden town,KY,82.0,19.2833,-81.25,few clouds,Will T Place
396,Catamarca,AR,69.64,-28.4696,-65.7852,scattered clouds,Amerian Catamarca Park Hotel
405,Namibe,AO,73.44,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
414,Dembi dolo,ET,60.01,8.5333,34.8,broken clouds,Dembi dollo plaza
416,Sur,OM,67.26,22.5667,59.5289,clear sky,Sur Plaza Hotel
418,Ankazoabo,MG,68.67,-22.2833,44.5167,clear sky,ENCEIN BUREAU CISCO
419,Port blair,IN,82.44,11.6667,92.75,few clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
425,Conde,BR,76.46,-7.2597,-34.9075,light rain,Pousada Beija Flor
433,Belmonte,BR,75.7,-15.8631,-38.8828,overcast clouds,Pousada Monte Carmelo O Pão
